inv,slug,wiki_article,wiki_store
-,little_shop_of_horace,[[Little Shop of Horace]],
-,llianns_wares,[[Lliann's Wares]],
-,logava_gricollers_cooking_supplies,[[Logava Gricoller's Cooking Supplies]],
-,lost_property_shop,[[Lost Property shop]],
-,lovecrafts_tackle,[[Lovecraft's Tackle]],
-,lunamis_axe_shop,[[Lunami's Axe Shop]],
-,mahogany_homes_reward_shop,[[Mahogany Homes Reward Shop]],
-,mairins_market,[[Mairin's Market]],
-,mining_guild_mineral_exchange,[[Mining Guild Mineral Exchange]],
-,mistrock_mining_supplies,[[Mistrock Mining Supplies]],
-,mixology_rewards,[[Mixology Rewards]],
-,moonrise_wines,[[Moonrise Wines]],
-,mount_karuulm_weapon_shop,[[Mount Karuulm Weapon Shop]],
-,multicannon_parts_for_sale,[[Multicannon parts for sale]],
-,mysterious_hallowed_goods,[[Mysterious Hallowed Goods]],
-,mysterious_stranger_shop,[[Mysterious Stranger (shop)]],
-,mythical_cape_store,[[Mythical Cape Store]],
-,neds_handmade_rope_100_wool,[[Ned's Handmade Rope (100% Wool)]],
-,nemus_retreat_pub,[[Nemus Retreat (pub)]],
-,nurmofs_pickaxe_shop,[[Nurmof's Pickaxe Shop.]],
-,oobapohks_javelin_store,[[Oobapohk's Javelin Store]],
-,outer_fortis_general_store,[[Outer Fortis General Store]],
-,paramaya_inn,[[Paramaya Inn]],
-,pellems_fur_store,[[Pellem's Fur Store]],
-,perrys_chop_chop_shop,[[Perry's Chop-chop Shop]],
-,petrified_petes_ore_shop,[[Petrified Pete's Ore Shop]],
-,picarias_fishing_shop,[[Picaria's Fishing Shop]],
-,port_roberts_cannonball_stall,[[Port Roberts Cannonball Stall]],
-,port_roberts_fish_stall,[[Port Roberts Fish Stall]],
-,port_roberts_fur_stall,[[Port Roberts Fur Stall]],
-,port_roberts_gem_stall,[[Port Roberts Gem Stall]],
-,port_roberts_ore_stall,[[Port Roberts Ore Stall]],
-,port_roberts_silk_stall,[[Port Roberts Silk Stall]],
-,port_roberts_silver_stall,[[Port Roberts Silver Stall]],
-,port_roberts_spice_stall,[[Port Roberts Spice Stall]],
-,port_roberts_veg_stall,[[Port Roberts Veg Stall]],
-,prifddinas_foodstuffs,[[Prifddinas Foodstuffs]],
-,prifddinas_gem_stall,[[Prifddinas Gem Stall]],
-,prifddinas_general_store,[[Prifddinas General Store]],
-,prifddinas_herbal_supplies,[[Prifddinas Herbal Supplies]],
-,prifddinas_silver_stall,[[Prifddinas Silver Stall]],
-,prifddinas_spice_stall,[[Prifddinas Spice Stall]],
-,prifddinas_seamstress,[[Prifddinas' Seamstress]],
-,prospector_percys_nugget_shop,[[Prospector Percy's Nugget Shop]],
-,pvp_arena_rewards,[[PvP Arena Rewards]],
-,quetzacalli_gorge_general_store,[[Quetzacalli Gorge General Store]],
-,ramarnos_shard_exchange,[[Ramarno's Shard Exchange]],
-,rat_bat,[[Rat & Bat]],
-,ratpit_bar_keldagrim,[[Ratpit bar (Keldagrim)]],
-,ratpit_bar_port_sarim,[[Ratpit bar (Port Sarim)]],
-,ratpit_bar_varrock,[[Ratpit bar (Varrock)]],
-,regaths_wares,[[Regath's Wares]],
-,rising_sun_inn,[[Rising Sun Inn]],
-,rusty_anchor_inn,[[Rusty Anchor Inn]],
-,salius_armour_shop,[[Salius' Armour Shop]],
-,sawmill,[[Sawmill]],
-,sebs_shipyard_supplies,[[Seb's Shipyard Supplies]],
-,sebamos_sublime_staffs,[[Sebamo's Sublime Staffs]],
-,shayzien_styles,[[Shayzien Styles]],
-,shields_of_mistrock,[[Shields of Mistrock]],
-,sians_ranged_weaponry,[[Sian's Ranged Weaponry]],
-,skull_in_a_chest_inn,[[Skull in a Chest Inn]],
-,slayer_rewards,[[Slayer Rewards]],
-,soul_wars_reward_shop,[[Soul Wars Reward Shop]],
-,speedrunning_reward_shop,[[Speedrunning Reward Shop]],
-,spikes_spikes,[[Spike's Spikes]],
-,stick_your_ore_inn,[[Stick Your Ore Inn]],
-,stonecutter_supplies,[[Stonecutter Supplies]],
-,sulisals_superb_fishing_store,[[Sulisal's Superb Fishing Store]],
-,sunlights_sanctum,[[Sunlight's Sanctum]],
-,tal_teklan_general_store,[[Tal Teklan General Store]],
-,tal_teklan_rune_shop,[[Tal Teklan Rune Shop]],
-,temple_supplies,[[Temple Supplies]],
-,the_asp_snake_bar,[[The Asp & Snake Bar.]],
-,the_burrow,[[The Burrow]],
-,the_cloak_and_stagger,[[The Cloak and Stagger]],
-,the_crypt,[[The Crypt]],
-,the_deeper_lode,[[The Deeper Lode]],
-,the_flaming_arrow,[[The Flaming Arrow]],
-,the_golden_field,[[The Golden Field]],
-,the_green_ghost,[[The Green Ghost]],
-,the_haymakers_arms,[[The Haymaker's Arms]],
-,the_kings_inn,[[The King's Inn]],
-,the_legless_faun,[[The Legless Faun]],
-,the_long_hall,[[The Long Hall]],
-,the_lost_pickaxe,[[The Lost Pickaxe]],
-,the_nutcracker,[[The Nutcracker]],
-,the_old_nite,[[The Old Nite]],
-,the_other_inn,[[The Other Inn.]],
-,the_pandemonium_pub,[[The Pandemonium (pub)]],
-,the_rolling_tide,[[The Rolling Tide]],
-,the_runic_emporium,[[The Runic Emporium]],
-,the_sheared_ram,[[The Sheared Ram]],
-,the_toad_and_chicken,[[The Toad and Chicken]],
-,the_windbreaker,[[The Windbreaker]],
-,thessalias_makeovers,[[Thessalia's Makeovers]],
-,thirus_urkars_fine_dynamite_store,[[Thirus Urkar's Fine Dynamite Store]],
-,thurids_brain_buckets,[[Thurid's Brain Buckets]],
-,thyrias_wares,[[Thyria's Wares]],
-,tizoros_pickaxes,[[Tizoro's Pickaxes]],
-,tocis_gem_store,[[Toci's Gem Store]],
-,toothys_pickaxes,[[Toothy's Pickaxes]],
-,tynans_fishing_supplies,[[Tynan's Fishing Supplies]],
-,tzhaar_hur_rins_ore_and_gem_store,[[TzHaar-Hur-Rin's Ore and Gem Store]],
-,tzhaar_hur_zals_equipment_store,[[TzHaar-Hur-Zal's Equipment Store]],
-,vale_research_exchange,[[Vale Research Exchange]],
-,vannahs_farming_stall,[[Vannah's Farming Stall]],
-,void_knights_reward_options,[[Void Knights' Reward Options]],
-,warrens_fish_monger,[[Warrens Fish Monger]],
-,warrens_general_store,[[Warrens General Store]],
-,worm_tongues_wares,[[Worm Tongue's Wares]],
-,yarnios_baked_goods,[[Yarnio's Baked Goods]],
-,yrsas_accoutrements,[[Yrsa's Accoutrements]],
